Origin,OriginCityName,Timezone,Daylight Savings,TimeDelta
SIT,"Sitka, AK",US/Alaska,Yes,5
SJC,"San Jose, CA",US/Pacific,Yes,4
SJU,"San Juan, PR",America/Puerto_Rico,No,0
SLC,"Salt Lake City, UT",US/Mountain,Yes,3
SMF,"Sacramento, CA",US/Pacific,Yes,4
SNA,"Santa Ana, CA",US/Pacific,Yes,4
SRQ,"Sarasota/Bradenton, FL",US/Eastern,Yes,1
STL,"St. Louis, MO",US/Central,Yes,2
STT,"Charlotte Amalie, VI",America/Virgin,No,0
STX,"Christiansted, VI",America/Virgin,No,0
SUN,"Sun Valley/Hailey/Ketchum, ID",US/Mountain,Yes,3
SYR,"Syracuse, NY",US/Eastern,Yes,1
TLH,"Tallahassee, FL",US/Eastern,Yes,1
TPA,"Tampa, FL",US/Eastern,Yes,1
TRI,"Bristol/Johnson City/Kingsport, TN",US/Eastern,Yes,1
TUL,"Tulsa, OK",US/Central,Yes,2
TUS,"Tucson, AZ",US/Arizona,No,3
TVC,"Traverse City, MI",US/Eastern,Yes,1
TWF,"Twin Falls, ID",US/Mountain,Yes,3
TYS,"Knoxville, TN",US/Eastern,Yes,1
VLD,"Valdosta, GA",US/Eastern,Yes,1
VPS,"Valparaiso, FL",US/Eastern,Yes,1
WYS,"West Yellowstone, MT",US/Mountain,Yes,3
XNA,"Fayetteville, AR",US/Central,Yes,2
XWA,"Williston, ND",US/Central,Yes,2
